AS23456,UN,4Byte ASN Place Holder
AS10318,AR,CABLEVISION S.A.
AS10620,CO,Telmex Colombia S.A.
AS10796,US,SCRR-10796 - Time Warner Cable Internet LLC AS11260,CA,EASTLINK-HSI - EastLink AS11426,US,SCRR-11426 - Time Warner Cable Internet LLC
AS11830,CR,Instituto Costarricense de Electricidad y Telecom.
AS11992,PR,CENTENNIAL-PR - Centennial de Puerto Rico
AS12271,US,SCRR-12271 - Time Warner Cable Internet LLC
AS1246,US,TLL-WEST - Zito Media
AS14420,EC,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP
AS14522,EC,Satnet
AS14618,US,AMAZON-AES - Amazon.com
AS14754,GT,Telgua
AS15169,US,GOOGLE - Google Inc.
AS16509,US,AMAZON-02 - Amazon.com
AS16586,US,CLEARWIRE - CLEAR WIRELESS LLC
AS17676,JP,GIGAINFRA Softbank BB Corp.
AS17699,BR,TELEF\195\148NICA BRASIL S.A
AS18881,BR,Global Village Telecom
AS19262,US,VZGNI-TRANSIT - Verizon Online LLC
AS19429,CO,ETB - Colombia
AS19902,US,NET-STATE-OHIO - Department of Administrative Services
AS20057,US,AT&T Wireless Service
AS20115,US,CHARTER-NET-HKY-NC - Charter Communications
AS21928,US,T-MOBILE-AS21928 - T-Mobile USA, Inc.
AS22394,US,CELLCO - Cellco Partnership DBA Verizon Wireless
AS22773,US,ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc.
AS26101,US,YAHOO-3 - Yahoo!
AS27364,US,ACS-INTERNET - Armstrong Cable Services
AS27699,BR,TELEF\195\148NICA BRASIL S.A
AS28573,BR,NET Servi\195\167os de Comunica\195\167\195\163o S.A.
AS3651,US,SPRINT-BB6 - Sprint
AS3737,US,PTD-AS - PenTeleData Inc.
AS39832,NO,NO-OPERA Opera Software ASA
AS4250,US,ALENT-ASN-1 - Alentus Corporation
AS5769,CA,VIDEOTRON - Videotron Telecom Ltee
AS577,CA,BACOM - Bell Canada
AS6079,US,RCN-AS - RCN Corporation
AS6128,US,CABLE-NET-1 - Cablevision Systems Corp.
AS6147,PE,Telefonica del Peru S.A.A.
AS6389,US,BELLSOUTH-NET-BLK - BellSouth.net Inc.
AS6400,DO,Compa\195\177\195\173a Dominicana de Tel\195\169fonos, C. por A. - CODETEL
AS7018,US,ATT-INTERNET4 - AT&T Services
AS701,US,UUNET - MCI Communications Services
AS7029,US,WINDSTREAM - Windstream Communications Inc
AS7303,AR,Telecom Argentina S.A.
AS7738,BR,Telemar Norte Leste S.A.
AS7922,US,COMCAST-7922 - Comcast Cable Communications
AS8048,VE,CANTV Servicios
AS8075,US,MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation
AS812,CA,ROGERS-CABLE - Rogers Cable Communications Inc.
AS8167,BR,Brasil Telecom S/A - Filial Distrito Federal
AS11426,US,SCRR-11426 - Time Warner Cable Internet LLC
AS19182,BR,AJATO TELECOMUNICACAO LTDA
AS14080,CO,Telmex Colombia S.A.
AS7992,CA,COGECOWAVE - Cogeco Cable
AS12083,US,WOW-INTERNET - WideOpenWest Finance LLC
AS33363,US,BHN-TAMPA - BRIGHT HOUSE NETWORKS, LLC
AS1968,US,UMASSP-DOM - University of Massachusettes
AS53435,US,JACKSONENERGY-EPLUS - JACKSON ENERGY AUTHORITY
AS13489,CO,EPM Telecomunicaciones S.A. E.S.P.
AS7939,US,UNIVCENTFLA - University of Central Florida
AS855,CA,CANET-ASN-4 - Bell Aliant Regional Communications, Inc.
AS11492,US,CABLEONE - CABLE ONE, INC.
AS36423,PR,SAN-JUAN-CABLE - San Juan Cable, LLC
AS32587,US,NCH-FTWDC-01 - Frontier Communications of America, Inc.
AS27925,CL,Entel PCS Telecomunicaciones S.A.
AS7132,US,SBIS-AS AS for SBIS-AS
AS26617,GT,Navega.com S.A.
AS22927,AR,Telefonica de Argentina
AS27813,AR,Teledifusora S.A.
AS27747,AR,Telecentro S.A.
AS25934,US,SVR-MAIN - Syniverse Technologies, LLC
AS11290,CA,RAPIDUS - COGECO Cable Canada Inc.
AS5639,TT,Telecommunication Services of Trinidad and Tobago
AS23118,US,SKYBEST - Skyline Telephone
AS3320,DE,DTAG Deutsche Telekom AG
AS6830,AT,LGI-UPC Liberty Global Operations B.V.
AS5089,GB,NTL Virgin Media Limited
AS3292,DK,TDC TDC Data Networks
AS5607,GB,BSKYB-BROADBAND-AS British Sky Broadcasting Limited
AS2856,GB,BT-UK-AS BTnet UK Regional network
AS3301,SE,TELIANET-SWEDEN TeliaSonera AB
AS31334,DE,KABELDEUTSCHLAND-AS Kabel Deutschland Vertrieb und Service GmbH
AS3269,IT,ASN-IBSNAZ Telecom Italia S.p.a.
AS9143,NL,ZIGGO Ziggo B.V.
AS3209,DE,VODANET Vodafone GmbH
AS2119,NO,TELENOR-NEXTEL Telenor Norge AS
AS13285,GB,OPALTELECOM-AS TalkTalk Communications Limited
AS20825,DE,UNITYMEDIA Unitymedia NRW GmbH
AS3215,FR,AS3215 Orange S.A.
AS8737,NL,PT Koninklijke KPN N.V.
AS8447,AT,TELEKOM-AT A1 Telekom Austria AG
AS13127,NL,VERSATEL Tele 2 Nederland B.V.
AS8402,RU,CORBINA-AS OJSC _Vimpelcom_
AS8359,RU,MTS MTS OJSC
AS8473,SE,BAHNHOF Bahnhof Internet AB
AS5617,PL,TPNET Telekomunikacja Polska S.A.
AS3243,PT,TELEPAC PT Comunicacoes S.A.
AS6805,DE,TDDE-ASN1 Telefonica Germany GmbH & Co.OHG
AS12322,FR,PROXAD Free SAS
AS6848,BE,TELENET-AS Telenet N.V.
AS224,NO,UNINETT UNINETT, The Norwegian University & Research Network
AS1267,EU,ASN-INFOSTRADA WIND Telecomunicazioni S.p.A.
AS5390,NL,EURONET Online Breedband B.V. Global AS
AS20676,DE,QSC-1 QSC AG
AS39651,SE,COMHEM-SWEDEN Com Hem Sweden
AS3265,NL,XS4ALL-NL XS4ALL Internet BV
AS25169,SE,TELENOR-SE-AS Telenor Sverige AB
AS9121,TR,TTNET Turk Telekomunikasyon Anonim Sirketi
AS790,EU,EUNETFI Elisa Oyj
AS41715,CH,ASTBSUHR Technische Betriebe Suhr
AS3303,CH,SWISSCOM Swisscom (Switzerland) Ltd
AS29562,DE,KABELBW-ASN Kabel BW GmbH
AS9158,DK,TELENOR_DANMARK_AS Telenor A/S
AS34984,TR,TELLCOM-AS TELLCOM ILETISIM HIZMETLERI A.S.
AS12741,PL,INTERNETIA-AS Netia SA
AS5432,BE,BELGACOM-SKYNET-AS Belgacom regional ASN
AS5391,HR,T-HT Hrvatski Telekom d.d.
AS15557,FR,LDCOMNET Societe Francaise du Radiotelephone S.A
AS15943,DE,WTNET-AS wilhelm.tel GmbH Norderstedt
AS5615,NL,TISNL-BACKBONE Koninklijke KPN N.V.
AS5410,FR,ASN-BOUYGTEL-ISP Bouygues Telecom S.A.
AS29695,NO,LYSE-AS Altibox AS
AS3352,ES,TELEFONICA-DATA-ESPANA TELEFONICA DE ESPANA
AS12874,IT,FASTWEB Fastweb SpA
AS24689,RU,ROSINTEL-AS Rosintel Network
AS12357,ES,COMUNITEL VODAFONE ESPANA S.A.U.
AS34244,SE,TELESERVICE Teleservice Bredband Skane AB
AS59584,RU,ASNTK Nezavisimaya Telekommunikatsionnaya Kompaniya Ltd.
AS45025,UA,EDN-AS Online Technologies LTD
AS41733,RU,ZTELECOM-AS Perspectiva Ltd.
AS12714,RU,TI-AS Net By Net Holding LLC
AS8422,DE,NETCOLOGNE NetCologne GmbH
AS6739,ES,ONO-AS Cableuropa - ONO
AS6730,CH,SUNRISE Sunrise Communications AG
AS1759,EU,TSF-IP-CORE TeliaSonera Finland IP Network
AS13124,BG,IBGC Blizoo Media and Broadband EAD
AS12715,ES,JAZZNET Jazz Telecom S.A.
AS39235,CZ,DAT Dat, s.r.o.
AS21021,PL,MULTIMEDIA-AS Multimedia Polska S.A.
AS47866,FR,IBROWSE iBrowse SARL
AS43234,GB,TT-AOLUK-AS TalkTalk Communications Limited
AS34814,UA,DYTYNETS-AS Osnova-Internet LLC
AS16175,NO,SIGNAL Signal Bredband AS
AS8708,RO,RCS-RDS RCS & RDS SA
AS12542,PT,TVCABO-AS TVCABO Autonomous System
AS1257,EU,TELE2
AS15659,NO,NEXTGENTEL NEXTGENTEL Autonomous System
AS41164,NO,GET-NO GET Norway
AS9105,GB,TISCALI-UK Tiscali UK
AS13184,DE,HANSENET Telefonica Germany GmbH & Co.OHG
AS12479,ES,UNI2-AS France Telecom Espana SA
AS54113,US,FASTLY - Fastly
AS20001,US,ROADRUNNER-WEST - Time Warner Cable Internet LLC
AS23145,US,BLUE-BOX-GRP - Blue Box Group, Inc.
AS209,US,ASN-QWEST-US NOVARTIS-DMZ-US
AS6327,CA,SHAW - Shaw Communications Inc.
AS852,CA,ASN852 - TELUS Communications Inc.
AS8151,MX,Uninet S.A. de C.V.
AS31,US,CIT - California Institute of Technology
AS22047,CL,VTR BANDA ANCHA S.A.
AS4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
AS19918,US,LUCASFILM - Lucasfilm Ltd.
AS54614,CA,CIKTELECOM-CABLE - CIK Telecom INC
AS28554,MX,Cablemas Telecomunicaciones SA de CV
AS4739,AU,INTERNODE-AS Internode Pty Ltd
AS4766,KR,KIXS-AS-KR Korea Telecom
AS1221,AU,ASN-TELSTRA Telstra Pty Ltd
AS45899,VN,VNPT-AS-VN VNPT Corp
AS4837,CN,CHINA169-BACKBONE CNCGROUP China169 Backbone
AS7545,AU,TPG-INTERNET-AP TPG Telecom Limited
AS803,CA,SASKTEL - Saskatchewan Telecommunications
AS9198,KZ,KAZTELECOM-AS JSC Kazakhtelecom
